��"FLO ID",Brand,"Company Name",Category,Status,City,Province,MVP
01331,"Keurig Canada","Keurig Canada (formerly GMCR Canada Holdings Inc)",Coffee,"Licensee company",Montreal,QC,No
01215,"Kicking Horse Coffee","Kicking Horse Coffee",Coffee,"Licensee company",Invermere,BC,Yes
20026,,"Kingsmill Foods","Cocoa / Hot Chocolate,Sugar","Licensee company",Toronto,ON,No
03577,Kitimai,"Kitimai Tea &amp; Coffee",Tea,"Licensee company",Downsview,ON,No
41807,Kooshoo,"Kooshoo Lifestyle Inc.",Cotton,"Licensee company",Victoria,BC,No
39294,"Ethical Bean","Kraft Heinz (Canada)",Coffee,"Licensee company",Toronto,ON,No
05044,"L'Armorique Inc","L&#8217;Armorique Inc",Coffee,"Licensee company","Val d'Or",QC,No
26606,"La Brulerie de l'Atlantique","La Brulerie de l&#8217;Atlantique",Coffee,"Licensee company",Matane,QC,No
26559,"La Choppe à Café","La Choppe &agrave; Caf&eacute;",Coffee,"Licensee company",St-Jérome,QC,No
01420,"La Compagnie des Mers du Sud Inc.","La Compagnie des Mers du Sud Inc.",Coffee,"Licensee company",Montreal,QC,No
3657,"La Riojana","La Riojana Coop",Wine,"Licensee company",,,No
01421,Camino,"La Siembra Co-operative","Chocolate,Cocoa / Hot Chocolate,Coconut,Sugar","Licensee company",Ottawa,ON,No
04103,"La Societe de Torréfaction de Café","La Societe de Torr&eacute;faction de Caf&eacute;",Coffee,"Licensee company",Blainville,QC,No
06411,"Laughing Whale Coffee Roasters","Laughing Whale Coffee Roasters",Coffee,"Licensee company",Lunenburg,NS,No
26561,"Le Caféier - Boustifo","Le Caf&eacute;ier &#8211; Boustifo",Coffee,"Licensee company",Ville-Marie,QC,No
26346,"Le Cafétier Plus Inc.","Le Caf&eacute;tier Plus Inc.",Coffee,"Licensee company","Mont Tremblant",QC,No
34156,"Les Aliments Merci","Les Aliments Merci",Sugar,"Licensee company",Montreal-Nord,QC,No
04519,,"Les Services Adaptes Transit",Coffee,"Licensee company",Montreal,QC,No
22030,"Longo Brother Fruit Market Inc.","Longo Brother Fruit Market Inc.",Coffee,"Licensee company",Vaughan,ON,No
,Luisella,"Luisella Foods Inc",Chocolate,"Licensee company",Barrie,ON,No
34502,"M68 Mercantile Inc. DBA Caffe Umbria Canada","M68 Mercantile Inc. DBA Caffe Umbria Canada",Coffee,"Licensee company",Vancouver,BC,No
39823,"Malleable Jewellers","Malleable Jewellers Corporation",Gold,"Licensee company",Toronto,ON,No
18178,"Tribal Java","Max Voets Coffee Roasting Ltd",Coffee,"Licensee company",Vernon,BC,No
38086,"Mayan Coffee","Mayan Green Coffee Imports",Coffee,"Licensee company","Shawnigan Lake",BC,No
38075,"ME to WE","ME to WE Shop Inc",Chocolate,"Licensee company",Toronto,ON,No
21365,"Melitta World Harvest","Melitta Canada Inc.",Coffee,"Licensee company",Toronto,ON,No
04104,"Mercedes Beans & Model Teas","Mercedes Beans &amp; Model Teas",Coffee,"Licensee company",Hazelton,BC,No
38541,,"Mexican Arabica Bean Company",Coffee,Trader,"Richmond Hill",ON,No
01425,"Midnight Sun Coffee Roasters","Midnight Sun Coffee Roasters",Coffee,"Licensee company",Whitehorse,YT,No
27149,"Milano Coffee Ltd","Milano Coffee Ltd",Coffee,"Licensee company",Vancouver,BC,No
28611,"Mochaberry Coffee & Company Ltd","Mochaberry Coffee &amp; Company Ltd",Coffee,"Licensee company",Orangeville,ON,No
03815,"Moja Coffee","Moja Coffee",Coffee,"Licensee company","North Vancouver",BC,No
22159,"Green & Black's","Mondelez Canada Inc.","Chocolate,Cocoa / Hot Chocolate","Licensee company",Mississauga,ON,No
1291,Mongozo,Mongozo,Other,"Licensee company",,,No
01312,"Montana Coffee & Tea Services","Montana Coffee &amp; Tea Services",Coffee,"Licensee company",Ottawa,ON,No
